run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,seed,iteration_cap,timing_repeats,runtime_algorithm_min,runtime_algorithm_max,runtime_algorithm_q25,runtime_algorithm_q75
ordinary_n50_p0.5_seed1102,random_gaussian_n50_m40_p0.5_seed1102,FB,converged,40,50,0.5,0.05,20.363296318396497,2984,2.6720988783220148,9.860073911596886e-12,28,28,0.02581968013081209,0.0,0.03370758695400418,0.011238174167626508,True,0.22404455800005962,0.2238939080000364,0.0001506500000232336,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.23469361564080307,,,,,ordinary,1102,10000,3,0.22364820699999655,0.2248718780000445,0.22377105750001647,0.22438289300004044
ordinary_n50_p0.5_seed1102,random_gaussian_n50_m40_p0.5_seed1102,4V-FB,converged,40,50,0.5,0.05,20.363296318396497,2984,2.6720988783220148,9.860073911596886e-12,28,28,0.02581968013081209,0.0,0.03370758695400418,0.011238174167626508,True,0.2348119460000362,0.2346494260000327,0.00016625000000658474,12,11,1,0,1155,28.0,28.0,0.0006219100002908817,0.00011067000014008954,0.0009256700000150886,0.003923493319086783,0.23469361564080307,5.044571322022995e-22,1.0509523587547906e-23,0.02581968013081209,30.639461621042763,ordinary,1102,10000,3,0.2345587350000642,0.23637776499992924,0.23460408050004844,0.23551359549998097
ordinary_n50_p0.5_seed1103,random_gaussian_n50_m40_p0.5_seed1103,FB,converged,40,50,0.5,0.05,16.051727314066248,3332,2.683652639347684,9.903383718545536e-12,27,27,0.02343790544659763,0.0,0.03166202796922752,0.008402465644929092,True,0.250469833000011,0.2503217930000119,0.00014803999999912776,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.20297997094055717,,,,,ordinary,1103,10000,3,0.24935575400002108,0.25102763300003517,0.2498387735000165,0.25067471300002353
ordinary_n50_p0.5_seed1103,random_gaussian_n50_m40_p0.5_seed1103,4V-FB,converged,40,50,0.5,0.05,16.051727314066248,3332,2.683652639347684,9.903383718545536e-12,27,27,0.02343790544659763,0.0,0.03166202796922752,0.008402465644929092,True,0.2623695519998819,0.26219088199991347,0.00016573000004882488,12,11,1,0,1426,27.0,27.0,0.0006262500000957516,0.00011096000002908113,0.0009365900001512273,0.003564383874493524,0.20297997094055717,2.667523179600942e-21,5.557339957501963e-23,0.02343790544659763,29.980979617223262,ordinary,1103,10000,3,0.2615238409999847,0.26325988099995357,0.2618573614999491,0.2627253814999335
ordinary_n50_p0.5_seed1104,random_gaussian_n50_m40_p0.5_seed1104,FB,converged,40,50,0.5,0.05,23.581288143414387,2314,2.0946292228666454,9.798686459769352e-12,25,25,0.024940049552977732,0.0,0.04939630123771378,0.015525926349877433,True,0.17380764400002136,0.17366592400003356,0.00014289000000644592,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.2228029604871557,,,,,ordinary,1104,10000,3,0.1734346350000351,0.17470968500003892,0.17355027950003432,0.17418780450003624
ordinary_n50_p0.5_seed1104,random_gaussian_n50_m40_p0.5_seed1104,4V-FB,converged,40,50,0.5,0.05,23.581288143414387,2314,2.0946292228666454,9.798686459769352e-12,25,25,0.024940049552977732,0.0,0.04939630123771378,0.015525926349877433,True,0.1831387629999881,0.1829761230000031,0.00016263999998500367,11,10,1,0,832,25.0,25.0,0.0005310899998676177,0.00010110000016538834,0.000806889999807936,0.004396323942718745,0.2228029604871557,1.806293381757409e-22,3.7631112119946024e-24,0.024940049552977732,31.209431223582392,ordinary,1104,10000,3,0.18254959299997608,0.18385085299996717,0.1827628579999896,0.18341348799998514
ordinary_n50_p0.5_seed1105,random_gaussian_n50_m40_p0.5_seed1105,FB,converged,40,50,0.5,0.05,21.435113049284094,2359,2.489274057989382,9.868384432987464e-12,32,32,0.024865162279128793,0.0,0.04531290826317945,0.013220725080252163,True,0.17408565400000953,0.17392246400004296,0.0001558699999577584,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.22180020135374923,,,,,ordinary,1105,10000,3,0.1730305449999605,0.17418340500000795,0.17347650450000174,0.17405293450002546
ordinary_n50_p0.5_seed1105,random_gaussian_n50_m40_p0.5_seed1105,4V-FB,converged,40,50,0.5,0.05,21.435113049284094,2359,2.489274057989382,9.868384432987464e-12,32,32,0.024865162279128793,0.0,0.04531290826317945,0.013220725080252163,True,0.18318660299996736,0.18301396299989392,0.00017264000007344293,11,10,1,0,910,32.0,32.0,0.0006114399997159126,0.00010259999987738411,0.0008876800001189622,0.004884834448577384,0.22180020135374923,3.522738835042872e-22,7.33903923967265e-24,0.024865162279128793,30.883121376814394,ordinary,1105,10000,3,0.18155081400004747,0.18361480299995492,0.1822823884999707,0.18331438299992442
ordinary_n50_p0.8_seed1101,random_gaussian_n50_m40_p0.8_seed1101,FB,converged,40,50,0.8,0.05,19.250062908813586,6339,2.2028765573686515,9.929391765596469e-12,33,33,0.005785026415603991,0.0,0.015171314508869644,0.004384558847145801,True,0.47683045999997375,0.47666105999996944,0.0001730999999836058,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.23712230871271595,,,,,ordinary,1101,50000,3,0.4751751599999352,0.4831407090000539,0.4759181099999523,0.47990088450001167
ordinary_n50_p0.8_seed1101,random_gaussian_n50_m40_p0.8_seed1101,4V-FB,converged,40,50,0.8,0.05,19.250062908813586,6339,2.2028765573686515,9.929391765596469e-12,33,33,0.005785026415603991,0.0,0.015171314508869644,0.004384558847145801,True,0.5006704869999794,0.5004860569999892,0.00018827999997483857,13,12,1,0,2549,33.0,33.0,0.0008499499999743421,0.000134120000097937,0.0012033000002702465,0.002403377134291313,0.23712230871271595,1.922497952613154e-14,4.005204067944071e-16,0.005785026415603991,25.632586119045307,ordinary,1101,50000,3,0.4982660670000314,0.5035832759999721,0.4993760620000103,0.5020346664999806
