run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p,perturbation,seed
perturbed_quartic_n50_p0.5_eps1e-05_seed2101,4V-FB,3,1,True,False,50,-2.153730165684981e-12,0.5628085996530688,-1,0.00021411831773487933,3.4335086162827323e-18,5.277777777777777e-13,True,True,9.002000001601118e-05,1.0279999969498022e-05,0.00012050000009367068,perturbed_saddle,quartic,50,0.5,1e-05,2101
perturbed_quartic_n50_p0.5_eps1e-05_seed2101,4V-FB,26,1,True,False,49,0.11553371203826976,0.5628085996530688,-1,-0.018025610306367845,3.4335086162827323e-18,5.243736755405836e-13,True,False,7.201999983408314e-05,9.780000027603819e-06,9.943000009116076e-05,perturbed_saddle,quartic,50,0.5,1e-05,2101
perturbed_quartic_n50_p0.5_eps1e-05_seed2101,4V-FB,27,2,True,False,49,0.11553371337174112,0.5628085996530688,-1,-0.018025598920715424,3.4335086162827323e-18,5.243736755405828e-13,True,False,6.037999992258847e-05,9.340000133306603e-06,8.550000006835035e-05,perturbed_saddle,quartic,50,0.5,1e-05,2101
perturbed_quartic_n50_p0.5_eps1e-05_seed2101,4V-FB,29,4,True,False,49,0.11553371435028247,0.5628085996530688,-1,-0.018025590565578398,3.4335086162827323e-18,5.243736755405828e-13,True,False,5.592999991677061e-05,9.169999884761637e-06,8.040000011533266e-05,perturbed_saddle,quartic,50,0.5,1e-05,2101
perturbed_quartic_n50_p0.5_eps1e-05_seed2101,4V-FB,33,8,True,False,49,0.11553371464432127,0.5628085996530688,-1,-0.018025588054970676,3.4335086162827323e-18,5.243736755405828e-13,True,False,5.5320000001302105e-05,9.379999937664252e-06,8.026000000427302e-05,perturbed_saddle,quartic,50,0.5,1e-05,2101
perturbed_quartic_n50_p0.5_eps1e-05_seed2101,4V-FB,39,14,False,True,49,0.11553371466234529,0.5628085996530688,-1,-0.018025587901076,3.4335086162827323e-18,5.243736755405828e-13,True,False,5.364999992707453e-05,9.410000075149583e-06,8.445000003121095e-05,perturbed_saddle,quartic,50,0.5,1e-05,2101
perturbed_quartic_n50_p0.5_eps1e-05_seed2102,4V-FB,3,1,True,False,50,-3.4377331334547252e-12,0.5628085996530688,-1,0.0002141143469174267,3.433508616280381e-18,5.277777777777778e-13,True,True,8.910999986255774e-05,1.0210000027655042e-05,0.00011941000002479996,perturbed_saddle,quartic,50,0.5,1e-05,2102
perturbed_quartic_n50_p0.5_eps1e-05_seed2102,4V-FB,26,1,True,False,49,0.1155337120382616,0.5628085996530688,-1,-0.018025610306435347,3.433508616280381e-18,5.243736755405836e-13,True,False,7.093999988683208e-05,9.859999863692792e-06,9.88000001598266e-05,perturbed_saddle,quartic,50,0.5,1e-05,2102
perturbed_quartic_n50_p0.5_eps1e-05_seed2102,4V-FB,27,2,True,False,49,0.11553371337173711,0.5628085996530688,-1,-0.018025598920748287,3.433508616280381e-18,5.24373675540583e-13,True,False,6.1030000097161974e-05,9.439999985261238e-06,8.661000015308673e-05,perturbed_saddle,quartic,50,0.5,1e-05,2102
perturbed_quartic_n50_p0.5_eps1e-05_seed2102,4V-FB,29,4,True,False,49,0.1155337143502815,0.5628085996530688,-1,-0.018025590565588168,3.433508616280381e-18,5.243736755405828e-13,True,False,5.6230000154755544e-05,9.350000027552596e-06,8.107999997264415e-05,perturbed_saddle,quartic,50,0.5,1e-05,2102
perturbed_quartic_n50_p0.5_eps1e-05_seed2102,4V-FB,33,8,True,False,49,0.11553371464432122,0.5628085996530688,-1,-0.018025588054970676,3.433508616280381e-18,5.243736755405828e-13,True,False,5.4670000054102275e-05,9.200000022246968e-06,7.913000013104465e-05,perturbed_saddle,quartic,50,0.5,1e-05,2102
perturbed_quartic_n50_p0.5_eps1e-05_seed2102,4V-FB,39,14,False,True,49,0.11553371466234529,0.5628085996530688,-1,-0.018025587901076,3.433508616280381e-18,5.243736755405828e-13,True,False,5.503000011231052e-05,9.399999953529914e-06,7.986000014170713e-05,perturbed_saddle,quartic,50,0.5,1e-05,2102
perturbed_quartic_n50_p0.5_eps1e-05_seed2103,4V-FB,3,1,True,False,50,-2.1124513935199313e-12,0.5628085996530688,-1,0.00021411524595471576,3.4335086162805764e-18,5.277777777777777e-13,True,True,8.97999998414889e-05,1.019000001178938e-05,0.00011994000010417949,perturbed_saddle,quartic,50,0.5,1e-05,2103
perturbed_quartic_n50_p0.5_eps1e-05_seed2103,4V-FB,26,1,True,False,49,0.11553371203826344,0.5628085996530688,-1,-0.01802561030641936,3.4335086162805764e-18,5.243736755405836e-13,True,False,7.097000002431741e-05,9.890000001178123e-06,9.868999995887862e-05,perturbed_saddle,quartic,50,0.5,1e-05,2103
perturbed_quartic_n50_p0.5_eps1e-05_seed2103,4V-FB,27,2,True,False,49,0.11553371337173801,0.5628085996530688,-1,-0.01802559892074118,3.4335086162805764e-18,5.24373675540583e-13,True,False,6.060000009711075e-05,9.4600000011269e-06,8.569999999963329e-05,perturbed_saddle,quartic,50,0.5,1e-05,2103
perturbed_quartic_n50_p0.5_eps1e-05_seed2103,4V-FB,29,4,True,False,49,0.11553371435028172,0.5628085996530688,-1,-0.018025590565585503,3.4335086162805764e-18,5.243736755405828e-13,True,False,6.357999995998398e-05,9.389999831910245e-06,8.870999999999185e-05,perturbed_saddle,quartic,50,0.5,1e-05,2103
perturbed_quartic_n50_p0.5_eps1e-05_seed2103,4V-FB,33,8,True,False,49,0.11553371464432123,0.5628085996530688,-1,-0.018025588054970676,3.4335086162805764e-18,5.243736755405828e-13,True,False,5.403000000114844e-05,9.180000006381306e-06,7.825999978194886e-05,perturbed_saddle,quartic,50,0.5,1e-05,2103
perturbed_quartic_n50_p0.5_eps1e-05_seed2103,4V-FB,39,14,False,True,49,0.11553371466234529,0.5628085996530688,-1,-0.018025587901076,3.4335086162805764e-18,5.243736755405828e-13,True,False,5.385000008573115e-05,9.040000122695346e-06,7.774000005156267e-05,perturbed_saddle,quartic,50,0.5,1e-05,2103
perturbed_quartic_n50_p0.5_eps1e-05_seed2104,4V-FB,3,1,True,False,50,-1.7580367755437107e-12,0.5628085996530688,-1,0.0002141168930895887,3.4335086162814516e-18,5.277777777777777e-13,True,True,9.933999990607845e-05,1.0630000133460271e-05,0.00013076999994154903,perturbed_saddle,quartic,50,0.5,1e-05,2104
