run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,dirl_config,dirl_alpha,dirl_beta_factor,dirl_mu,dirl_epsilon0,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
dirl_sensitivity_alpha_0p50_seed2101,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111111953012576,600,2.1111111111111107,6.362222124834311e-13,20,20,0.2814042998265344,0.0,-4.373811729463384e-09,-2.1869058647316922e-08,False,0.008135447999848111,0.0074056280000149854,0.0007298199998331256,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,alpha_0p50,0.5,1.0,0.9,0.01,0.0010000000000000135,0.0003903069869793151,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p50_seed2101,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111111953012576,300,2.111111111111111,6.72609111957088e-13,20,20,0.2814042998265344,0.0,-4.5389526651118395e-09,-2.26947633255592e-08,False,0.0044292299999142415,0.0040026799997576745,0.00042655000015656697,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,alpha_0p50,0.5,1.0,0.9,0.01,0.0010000000000000135,0.0003976070801437547,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2102,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112109773416,539,2.111111111111111,1.6953491578823378e-15,20,20,0.2814042998265344,0.0,-3.742178789067907e-11,-1.8710893945339533e-10,False,0.01777096699993308,0.006855619000589286,0.010915347999343794,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,alpha_0p50,0.5,1.0,0.9,0.01,0.0010000000000000406,3.610262879229734e-05,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2102,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112109773416,263,2.111111111111111,6.667678163862676e-16,20,20,0.2814042998265344,0.0,-3.883537935678305e-11,-1.9417689678391528e-10,False,0.019677866999927573,0.003874919997088,0.015802947002839574,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,alpha_0p50,0.5,1.0,0.9,0.01,0.0010000000000000406,3.6778161176199556e-05,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2103,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112089219133,539,2.111111111111111,3.2856462733206596e-14,20,20,0.2814042998265344,0.0,-6.052458534355765e-10,-3.026229267177882e-09,False,0.017326107999906526,0.006863178999765296,0.01046292900014123,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,alpha_0p50,0.5,1.0,0.9,0.01,0.0009999999999999575,0.0001451918484831686,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2103,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112089219133,263,2.111111111111111,3.4603569008783556e-14,20,20,0.2814042998265344,0.0,-6.28103929978252e-10,-3.1405196498912606e-09,False,0.019601607000140575,0.0038792989998910343,0.01572230800024954,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,alpha_0p50,0.5,1.0,0.9,0.01,0.0009999999999999575,0.00014790813691580563,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2104,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112033020416,600,2.111111111111111,2.2077591560559368e-13,20,20,0.2814042998265344,0.0,-2.1599374927516735e-09,-1.0799687463758369e-08,False,0.008136579000165511,0.007413779000216891,0.0007227999999486201,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,alpha_0p50,0.5,1.0,0.9,0.01,0.0009999999999999027,0.0002742817358773279,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2104,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112033020416,300,2.1111111111111107,2.3340068240768065e-13,20,20,0.2814042998265344,0.0,-2.2414837000384047e-09,-1.1207418500192025e-08,False,0.004434419000062917,0.004007838999996238,0.0004265800000666786,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,alpha_0p50,0.5,1.0,0.9,0.01,0.0009999999999999027,0.00027941137955873175,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p50_seed2105,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112076867196,600,2.111111111111111,6.409163750412557e-14,20,20,0.2814042998265344,0.0,-9.469278625107158e-10,-4.734639312553579e-09,False,0.008114269000088825,0.007387628999595108,0.0007266400004937168,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,alpha_0p50,0.5,1.0,0.9,0.01,0.0009999999999999567,0.00018160790563300964,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p50_seed2105,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112076867196,300,2.1111111111111107,6.773585757925071e-14,20,20,0.2814042998265344,0.0,-9.82615940003928e-10,-4.91307970001964e-09,False,0.00443460899987258,0.004009969000208002,0.00042463999966457777,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,alpha_0p50,0.5,1.0,0.9,0.01,0.0009999999999999567,0.00018499849963492942,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_mu_0p80_seed2101,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111111953012576,700,2.1111111111111107,6.542403634195267e-13,20,20,0.2814042998265344,0.0,-4.455974617068037e-09,-2.2279873085340185e-08,False,0.009466349000149421,0.008653428999878088,0.0008129200002713333,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,mu_0p80,0.2,1.0,0.8,0.01,0.0010000000000000135,0.0003939559265751121,False,2.111111111111111,-4.440892098500626e-16
