run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,distance_to_saddle,F_saddle,objective_change_from_saddle
exact_strict_n50_p0.8,exact_strict_n50_p0.8,FB,converged,50,50,0.8,0.1,6.666666666666667,1,6.666666666666668,2.3318452786461733e-16,50,50,0.23097428992562205,0.0,-0.007999999999999997,-0.09999999999999995,False,0.00028239999983270536,0.0001183399999717949,0.00016405999986091047,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,exact,strict,7.850462293418876e-16,6.666666666666667,8.881784197001252e-16
exact_strict_n50_p0.8,exact_strict_n50_p0.8,4V-FB,converged,50,50,0.8,0.1,6.666666666666667,40,6.648715253532268,3.2675841063561698e-12,49,49,0.23097428992562205,0.0,0.04524758524969302,0.5655948156211626,True,0.004819938999844453,0.004627438999932565,0.00019249999991188815,6,5,1,1,16,49.166666666666664,50.0,0.00038009900003999064,6.046999988029711e-05,0.0005421190003289666,0.11247424507788618,9.895833333333337,4.243780639042561e-11,8.841209664672001e-13,0.23097428992562205,15.42314248858413,exact,strict,1.451586055032074,6.666666666666667,-0.01795141313439874
exact_quartic_n20_p0.3,exact_quartic_n20_p0.3,FB,converged,20,20,0.3,0.1,2.0299003322259135,1,2.0299003322259135,0.0,20,20,0.3092532037787764,0.0,0.0,0.0,False,0.0001874399999906018,8.084000000962988e-05,0.00010659999998097192,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,exact,quartic,4.965068306494546e-16,2.0299003322259135,0.0
exact_quartic_n20_p0.3,exact_quartic_n20_p0.3,4V-FB,converged,20,20,0.3,0.1,2.0299003322259135,37,1.973724570930954,2.8303747649709675e-12,19,19,0.3092532037787764,0.0,0.15418504719435572,0.5506608828369848,True,0.0033999089996541443,0.0032669999998233834,0.00013290899983076088,6,5,1,1,16,19.166666666666668,20.0,0.00019237000014982186,5.583000006481598e-05,0.00034381000000394124,0.1011232947819825,3.1561461794019934,3.6094160501614086e-19,7.519616771169602e-21,0.3092532037787764,22.470022176837,exact,quartic,1.3715321824940596,2.0299003322259135,-0.05617576129495938
exact_quartic_n20_p0.5,exact_quartic_n20_p0.5,FB,converged,20,20,0.5,0.1,2.111111111111111,1,2.111111111111111,0.0,20,20,0.2814042998265344,0.0,-2.0816681711721685e-17,-1.0408340855860845e-16,False,0.00022468999986813287,9.99199999114353e-05,0.00012476999995669757,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,exact,quartic,4.965068306494546e-16,2.111111111111111,0.0
exact_quartic_n20_p0.5,exact_quartic_n20_p0.5,4V-FB,converged,20,20,0.5,0.1,2.111111111111111,37,2.0770700887391613,4.1931721253113685e-12,19,19,0.2814042998265344,0.0,0.11553371466234529,0.5776685733117266,True,0.004129460000058316,0.003976920000013706,0.00015254000004460977,6,5,1,1,15,19.166666666666668,20.0,0.00018800000020746666,5.144000010659511e-05,0.00033290999976998137,0.08061828901727587,4.222222222222222,2.4971540725324565e-12,5.202404317775951e-14,0.2814042998265344,15.81098407358339,exact,quartic,1.352487749778311,2.111111111111111,-0.034041022371949836
exact_quartic_n20_p0.8,exact_quartic_n20_p0.8,FB,converged,20,20,0.8,0.1,2.666666666666667,1,2.666666666666667,1.4279577729502957e-16,20,20,0.23097428992562205,0.0,-1.3877787807814457e-17,-1.734723475976807e-16,False,0.0002315299998372211,0.00010344999986955372,0.0001280799999676674,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,exact,quartic,4.965068306494546e-16,2.666666666666667,0.0
exact_quartic_n20_p0.8,exact_quartic_n20_p0.8,4V-FB,converged,20,20,0.8,0.1,2.666666666666667,52,2.6564508562627154,3.1725583595880038e-12,19,19,0.23097428992562205,0.0,0.048519355601165534,0.606491945014569,True,0.005963800000017727,0.0058117300000049,0.00015207000001282722,6,5,1,1,15,19.166666666666668,20.0,0.00019787000019277912,5.7370000149603584e-05,0.00035406000051807496,0.0593681881547038,9.895833333333337,4.07628920933142e-09,8.492269186107126e-11,0.23097428992562205,13.042690417786277,exact,quartic,1.3349128574734062,2.666666666666667,-0.010215810403951586
exact_quartic_n50_p0.3,exact_quartic_n50_p0.3,FB,converged,50,50,0.3,0.1,5.074750830564784,1,5.074750830564784,0.0,50,50,0.3092532037787764,0.0,0.0,0.0,False,0.000242350000235092,8.497000021634449e-05,0.00015738000001874752,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,exact,quartic,7.850462293418876e-16,5.074750830564784,0.0
exact_quartic_n50_p0.3,exact_quartic_n50_p0.3,4V-FB,converged,50,50,0.3,0.1,5.074750830564784,37,5.018575069269825,2.8303747649709675e-12,49,49,0.3092532037787764,0.0,0.15418504719435572,0.5506608828369848,True,0.0037453899999491114,0.0035719899999548943,0.00017339999999421707,6,5,1,1,16,49.166666666666664,50.0,0.0003844299999400391,6.0880000091856346e-05,0.0005478699997638614,0.14627849163139361,3.1561461794019934,1.7848908680136098e-24,3.71852264169502e-26,0.3092532037787764,28.17378746312857,exact,quartic,1.3715321824940596,5.074750830564784,-0.05617576129495916
exact_quartic_n50_p0.5,exact_quartic_n50_p0.5,FB,converged,50,50,0.5,0.1,5.277777777777778,1,5.277777777777778,0.0,50,50,0.2814042998265344,0.0,-2.0816681711721685e-17,-1.0408340855860845e-16,False,0.0002641690000473318,0.00010296999994352518,0.0001611990001038066,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,exact,quartic,7.850462293418876e-16,5.277777777777778,0.0
exact_quartic_n50_p0.5,exact_quartic_n50_p0.5,4V-FB,converged,50,50,0.5,0.1,5.277777777777778,37,5.243736755405828,4.1931721253113685e-12,49,49,0.2814042998265344,0.0,0.11553371466234529,0.5776685733117266,True,0.004475759999877482,0.004275209999832441,0.0002005500000450411,6,5,1,1,15,49.166666666666664,50.0,0.0003776699995796662,5.691000001206703e-05,0.0005401500000061787,0.12068341466498754,4.222222222222222,1.6426176302987705e-15,3.422120063122439e-17,0.2814042998265344,19.390832941255965,exact,quartic,1.352487749778311,5.277777777777778,-0.034041022371949836
exact_quartic_n50_p0.8,exact_quartic_n50_p0.8,FB,converged,50,50,0.8,0.1,6.666666666666667,1,6.666666666666668,2.3318452786461733e-16,50,50,0.23097428992562205,0.0,-1.3877787807814457e-17,-1.734723475976807e-16,False,0.0002803399997901579,0.00010345999999117339,0.0001768799997989845,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,exact,quartic,7.850462293418876e-16,6.666666666666667,8.881784197001252e-16
exact_quartic_n50_p0.8,exact_quartic_n50_p0.8,4V-FB,converged,50,50,0.8,0.1,6.666666666666667,52,6.656450856262715,3.172558364943995e-12,49,49,0.23097428992562205,0.0,0.048519355601165534,0.606491945014569,True,0.006311949000291861,0.0061208290001104615,0.00019112000018139952,6,5,1,1,15,49.166666666666664,50.0,0.0003911300000254414,6.188000020301843e-05,0.0005562400001508649,0.08812491991382451,9.895833333333337,4.243780639042561e-11,8.841209664672001e-13,0.23097428992562205,15.42314248858413,exact,quartic,1.3349128574734062,6.666666666666667,-0.010215810403951586
