iteration,objective,objective_change_double,objective_change_high_precision,distance_to_saddle,step_norm,fb_residual,support_size,relative_lambda_min,elapsed_seconds,first_machine_fixed_iteration,total_runtime_seconds
654,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.10673435499984407,10,94.08344318799982
706,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.112365834000002,10,94.08344318799982
763,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.11844057299981614,10,94.08344318799982
824,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.12488398199980111,10,94.08344318799982
890,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.13179818099979457,10,94.08344318799982
962,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.13927567999985513,10,94.08344318799982
1039,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.1472266089999721,10,94.08344318799982
1122,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.1557022979998237,10,94.08344318799982
1212,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.16487889599989103,10,94.08344318799982
1310,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.17515908499990474,10,94.08344318799982
1415,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.18576040299990382,10,94.08344318799982
1528,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.19711176199984948,10,94.08344318799982
1651,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.2093860699999368,10,94.08344318799982
1784,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.22260574799997812,10,94.08344318799982
1927,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.23678934599979584,10,94.08344318799982
2081,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.25203178299989304,10,94.08344318799982
2248,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.2684509809998872,10,94.08344318799982
2429,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.28620520799995575,10,94.08344318799982
2624,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.305306015999804,10,94.08344318799982
2834,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.3258540429999357,10,94.08344318799982
3062,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.3481824189998406,10,94.08344318799982
3307,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.37198053599991,10,94.08344318799982
3573,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.39773328199999014,10,94.08344318799982
3860,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.4254304279997996,10,94.08344318799982
4169,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.4552296539998224,10,94.08344318799982
4504,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.48750797899992904,10,94.08344318799982
4865,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.5222320739999304,10,94.08344318799982
5256,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.5598007080000116,10,94.08344318799982
5677,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.600166851999802,10,94.08344318799982
6133,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.643955485999868,10,94.08344318799982
6625,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.6910330690000137,10,94.08344318799982
7157,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.741948950999813,10,94.08344318799982
7731,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.7967843229998834,10,94.08344318799982
8351,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.8560485849998258,10,94.08344318799982
9022,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.9199209749999682,10,94.08344318799982
9746,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.9888463749998664,10,94.08344318799982
10000,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.0136183509998773,10,94.08344318799982
10528,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.0642806739999742,10,94.08344318799982
11372,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.144636311999875,10,94.08344318799982
12285,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.2315482589999647,10,94.08344318799982
13271,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.32539553599986,10,94.08344318799982
14335,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.4266827309998007,10,94.08344318799982
15486,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.5361669249998613,10,94.08344318799982
16728,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.6541180570000051,10,94.08344318799982
18071,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.7814072489998125,10,94.08344318799982
19521,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,1.9186710679998669,10,94.08344318799982
21087,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,2.066665546999957,10,94.08344318799982
22779,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,2.2268297229998097,10,94.08344318799982
24607,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,2.3994967379999252,10,94.08344318799982
26581,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,2.58639350999988,10,94.08344318799982
