run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
perturbed_quartic_n20_p0.8_eps1e-05_seed2102,exact_quartic_n20_p0.8,4V-FB,converged,20,20,0.8,0.1,2.666666666670662,53,2.656450856262715,3.172513483204738e-12,19,19,0.23097428992562205,0.0,0.048519355601165534,0.606491945014569,True,0.0060354190002271935,0.005879549000155748,0.00015587000007144525,6,5,1,1,15,19.166666666666668,20.0,0.0001963700003670965,5.662999978994776e-05,0.0003506699995341478,0.05810201404756611,9.895833333333337,4.076289209307177e-09,8.492269186056619e-11,0.23097428992562205,13.04269041778951,perturbed_saddle,quartic,1e-05,2102,1.0000000000001451e-05,1.3349128574734064,True,2.666666666666667,-0.01021581040395203
perturbed_quartic_n20_p0.8_eps1e-05_seed2103,exact_quartic_n20_p0.8,FB,converged,20,20,0.8,0.1,2.666666666670579,6,2.666666666666667,4.1300924990165065e-14,20,20,0.23097428992562205,0.0,-3.123890035539034e-14,-3.904862544423606e-13,False,0.0007398999998713407,0.0006015799999659066,0.0001383199999054341,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2103,1.0000000000030841e-05,1.479178504649256e-06,False,2.666666666666667,0.0
perturbed_quartic_n20_p0.8_eps1e-05_seed2103,exact_quartic_n20_p0.8,DIRL1,converged,20,20,0.8,0.1,2.666666666670579,1368,2.666666666666667,1.3906249172122898e-15,20,20,0.23097428992562205,0.0,-2.919192665373771e-14,-3.6489908317172107e-13,False,0.047685852999848066,0.017946758997368306,0.02973909400247976,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2103,1.0000000000030841e-05,1.4443425121956948e-06,False,2.666666666666667,0.0
perturbed_quartic_n20_p0.8_eps1e-05_seed2103,exact_quartic_n20_p0.8,DIRL2,converged,20,20,0.8,0.1,2.666666666670579,263,2.6666666666666665,8.003391892578945e-16,20,20,0.23097428992562205,0.0,-3.063174713879846e-14,-3.8289683923498054e-13,False,0.009819189000154438,0.003791000001001521,0.006028188999152917,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2103,1.0000000000030841e-05,1.4790756624940779e-06,False,2.666666666666667,-4.440892098500626e-16
perturbed_quartic_n20_p0.8_eps1e-05_seed2103,exact_quartic_n20_p0.8,4V-FB,converged,20,20,0.8,0.1,2.666666666670579,53,2.6564508562627154,3.172513483204738e-12,19,19,0.23097428992562205,0.0,0.048519355601165534,0.606491945014569,True,0.006104559000050358,0.005945609000036711,0.00015895000001364679,6,5,1,1,15,19.166666666666668,20.0,0.00020622000010916963,5.651000014950114e-05,0.000358929999947577,0.05879704003919302,9.895833333333337,4.076289209307682e-09,8.492269186057671e-11,0.23097428992562205,13.042690417789444,perturbed_saddle,quartic,1e-05,2103,1.0000000000030841e-05,1.3349128574734064,True,2.666666666666667,-0.010215810403951586
perturbed_quartic_n20_p0.8_eps1e-05_seed2104,exact_quartic_n20_p0.8,FB,converged,20,20,0.8,0.1,2.6666666666703547,6,2.666666666666667,4.009444767085457e-14,20,20,0.23097428992562205,0.0,-1.0983922105189947e-13,-1.3729902631486974e-12,False,0.0007278200000655488,0.0005887800000436982,0.00013904000002185057,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2104,1.0000000000060132e-05,2.794322618588981e-06,False,2.666666666666667,0.0
perturbed_quartic_n20_p0.8_eps1e-05_seed2104,exact_quartic_n20_p0.8,DIRL1,converged,20,20,0.8,0.1,2.6666666666703547,1368,2.6666666666666674,1.3860919339107245e-15,20,20,0.23097428992562205,0.0,-1.043019837165815e-13,-1.3037747964572676e-12,False,0.046705013000064355,0.017218755996282198,0.029486257003782157,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2104,1.0000000000060132e-05,2.728513711698127e-06,False,2.666666666666667,4.440892098500626e-16
perturbed_quartic_n20_p0.8_eps1e-05_seed2104,exact_quartic_n20_p0.8,DIRL2,converged,20,20,0.8,0.1,2.6666666666703547,263,2.666666666666667,7.939442681040893e-16,20,20,0.23097428992562205,0.0,-1.0940554018290527e-13,-1.367569252286315e-12,False,0.009598898000149347,0.003616038000473054,0.005982859999676293,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2104,1.0000000000060132e-05,2.7941279047502476e-06,False,2.666666666666667,0.0
perturbed_quartic_n20_p0.8_eps1e-05_seed2104,exact_quartic_n20_p0.8,4V-FB,converged,20,20,0.8,0.1,2.6666666666703547,53,2.656450856262715,3.1724686068214723e-12,19,19,0.23097428992562205,0.0,0.048519355601165534,0.606491945014569,True,0.005986119999761286,0.005832869999949253,0.0001532499998120329,6,5,1,1,15,19.166666666666668,20.0,0.00019328000007590163,5.612999962067988e-05,0.00034475000006750633,0.057591561826567834,9.895833333333337,4.076289209309042e-09,8.492269186060504e-11,0.23097428992562205,13.042690417789261,perturbed_saddle,quartic,1e-05,2104,1.0000000000060132e-05,1.334912857473407,True,2.666666666666667,-0.01021581040395203
perturbed_quartic_n20_p0.8_eps1e-05_seed2105,exact_quartic_n20_p0.8,FB,converged,20,20,0.8,0.1,2.6666666666705297,6,2.666666666666667,4.105857237944766e-14,20,20,0.23097428992562205,0.0,-4.740999259844614e-14,-5.926249074805536e-13,False,0.0007413599998926657,0.0006020900000294205,0.00013926999986324518,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2105,9.999999999974734e-06,1.8502217526093936e-06,False,2.666666666666667,0.0
perturbed_quartic_n20_p0.8_eps1e-05_seed2105,exact_quartic_n20_p0.8,DIRL1,converged,20,20,0.8,0.1,2.6666666666705297,1368,2.6666666666666674,1.3906249172122898e-15,20,20,0.23097428992562205,0.0,-4.570302469808496e-14,-5.712878087260615e-13,False,0.04683623300002182,0.0172138870004801,0.02962234599954172,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2105,9.999999999974734e-06,1.8066468473848875e-06,False,2.666666666666667,4.440892098500626e-16
perturbed_quartic_n20_p0.8_eps1e-05_seed2105,exact_quartic_n20_p0.8,DIRL2,converged,20,20,0.8,0.1,2.6666666666705297,263,2.666666666666666,7.911650377535508e-16,20,20,0.23097428992562205,0.0,-4.79512263229509e-14,-5.99390329036886e-13,False,0.009641418999990492,0.003623129999368757,0.006018289000621735,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,perturbed_saddle,quartic,1e-05,2105,9.999999999974734e-06,1.8500911820718882e-06,False,2.666666666666667,-8.881784197001252e-16
perturbed_quartic_n20_p0.8_eps1e-05_seed2105,exact_quartic_n20_p0.8,4V-FB,converged,20,20,0.8,0.1,2.6666666666705297,53,2.656450856262715,3.172513483204738e-12,19,19,0.23097428992562205,0.0,0.048519355601165534,0.606491945014569,True,0.00600481900005434,0.00584787899992989,0.0001569400001244503,6,5,1,1,15,19.166666666666668,20.0,0.000193139999964842,5.635000002257584e-05,0.0003456900003584451,0.05756876274793908,9.895833333333337,4.076289209307979e-09,8.492269186058289e-11,0.23097428992562205,13.042690417789403,perturbed_saddle,quartic,1e-05,2105,9.999999999974734e-06,1.3349128574734066,True,2.666666666666667,-0.01021581040395203
