run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,n,p,seed
ordinary_n50_p0.3_seed1101,4V-FB,2024,686,False,True,26,0.05607661777995353,0.08973928820402641,1,-0.00022341296480732353,1.0190560951052899e-41,2.0757952064858164e-13,True,False,7.579999999052234e-05,1.1150000091220136e-05,0.0001058899999861751,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1102,4V-FB,1150,1,True,False,25,0.060333014821671485,0.08919747049877136,-1,-0.00023998866134622432,6.393305139509483e-42,2.559197856227758e-13,True,False,0.00012227999991409888,1.2120000064896885e-05,0.00015935999999783235,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1151,2,True,False,25,0.06033301482754999,0.08919747049877136,-1,-0.00023998853747420057,6.393305139509483e-42,2.559197856227756e-13,True,False,5.5090000046220666e-05,1.042999997480365e-05,8.288000003631169e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1153,4,True,False,25,0.06033301483905827,0.08919747049877136,-1,-0.0002399882949681853,6.393305139509483e-42,2.559197856227752e-13,True,False,4.750999994485028e-05,1.0169999995923718e-05,7.37700000854602e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1157,8,True,False,25,0.0603330148611126,0.08919747049877136,-1,-0.00023998783023193582,6.393305139509483e-42,2.5591978562277435e-13,True,False,4.230000001825829e-05,9.890000001178123e-06,6.781000001865323e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1165,16,True,False,25,0.06033301490161916,0.08919747049877136,-1,-0.0002399869766671614,6.393305139509483e-42,2.559197856227731e-13,True,False,4.011999999420368e-05,1.0240000051453535e-05,6.60000000607397e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1181,32,True,False,25,0.060333014969995075,0.08919747049877136,-1,-0.00023998553581972004,6.393305139509483e-42,2.559197856227711e-13,True,False,4.195999997591571e-05,9.930000032909447e-06,6.739000002653484e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1213,64,True,False,25,0.06033301506772827,0.08919747049877136,-1,-0.00023998347632270267,6.393305139509483e-42,2.5591978562276915e-13,True,False,4.216000002088549e-05,1.002999999855092e-05,6.826000003457011e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1277,128,True,False,25,0.060333015168853435,0.08919747049877136,-1,-0.0002399813452909072,6.393305139509483e-42,2.559197856227681e-13,True,False,4.219999993892998e-05,1.0139999972125224e-05,6.791999999222753e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1405,256,True,False,25,0.060333015225713965,0.08919747049877136,-1,-0.00023998014702630854,6.393305139509483e-42,2.5591978562276794e-13,True,False,4.3239999968136544e-05,9.949999935088272e-06,6.925000002411252e-05,ordinary,50,0.3,1102
ordinary_n50_p0.3_seed1102,4V-FB,1661,512,True,False,25,0.06033301523634378,0.08919747049877136,-1,-0.0002399799230148325,6.393305139509483e-42,2.559197856227679e-13,True,False,4.447999992862606e-05,1.0309999993296515e-05,7.124999990537617e-05,ordinary,50,0.3,1102
