run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p
exact_strict_n50_p0.3,4V-FB,31,8,True,False,49,0.1493243202219751,0.6185064075575528,-1,-0.02828925133281146,5.4418584730113896e-27,5.008361699388e-13,True,False,5.7089999927484314e-05,1.024999983201269e-05,8.372999991479446e-05,exact,strict,50,0.3
exact_strict_n50_p0.3,4V-FB,38,15,False,True,49,0.14932432023868222,0.6185064075575528,-1,-0.028289251053759124,5.4418584730113896e-27,5.008361699388e-13,True,False,5.618000000140455e-05,1.0109999948326731e-05,8.2939999856535e-05,exact,strict,50,0.3
exact_strict_n50_p0.5,4V-FB,1,1,True,False,50,-0.012500000000000022,0.5628085996530688,1,0.0021938233597103007,3.4335086163258816e-18,5.277777777777777e-13,True,True,8.666000007906405e-05,1.0169999995923718e-05,0.00011682999979711894,exact,strict,50,0.5
exact_strict_n50_p0.5,4V-FB,24,1,True,False,49,0.11003888183882488,0.5628085996530688,-1,-0.017193607638428254,3.4335086163258816e-18,5.23167821812972e-13,True,False,7.172000005084556e-05,1.0080000038215076e-05,0.00010025999995377788,exact,strict,50,0.5
exact_strict_n50_p0.5,4V-FB,25,2,True,False,49,0.11003888282125969,0.5628085996530688,-1,-0.017193598438440816,3.4335086163258816e-18,5.231678218129716e-13,True,False,6.0200000007171184e-05,9.410000075149583e-06,8.572999990974495e-05,exact,strict,50,0.5
exact_strict_n50_p0.5,4V-FB,27,4,True,False,49,0.11003888359307254,0.5628085996530688,-1,-0.017193591210816095,3.4335086163258816e-18,5.231678218129715e-13,True,False,5.740999995396123e-05,9.159999990515644e-06,8.24800001737458e-05,exact,strict,50,0.5
exact_strict_n50_p0.5,4V-FB,31,8,True,False,49,0.11003888385530795,0.5628085996530688,-1,-0.017193588755119116,3.4335086163258816e-18,5.231678218129715e-13,True,False,5.510999994839949e-05,9.229999932358623e-06,7.981999988260213e-05,exact,strict,50,0.5
exact_strict_n50_p0.5,4V-FB,38,15,False,True,49,0.11003888387539197,0.5628085996530688,-1,-0.017193588567042895,3.4335086163258816e-18,5.231678218129714e-13,True,False,5.597000017587561e-05,9.319999890067265e-06,8.095000021057785e-05,exact,strict,50,0.5
exact_strict_n50_p0.8,4V-FB,1,1,True,False,50,-0.008000000000000002,0.4619485798512441,1,0.0008957015849713201,4.026115549822024e-14,6.666666666666668e-13,True,True,8.47500000418222e-05,1.0309999879609677e-05,0.00011522999989210803,exact,strict,50,0.8
exact_strict_n50_p0.8,4V-FB,26,1,True,False,49,0.04524758274428381,0.4619485798512441,-1,-0.004753571847555094,4.026115549822024e-14,6.648715253532278e-13,True,False,7.071999993968348e-05,1.0670000165191595e-05,9.954999995898106e-05,exact,strict,50,0.8
exact_strict_n50_p0.8,4V-FB,27,2,True,False,49,0.045247583946569234,0.4619485798512441,-1,-0.0047535656370900625,4.026115549822024e-14,6.648715253532271e-13,True,False,5.843999997523497e-05,9.970000064640772e-06,8.444000013696495e-05,exact,strict,50,0.8
exact_strict_n50_p0.8,4V-FB,29,4,True,False,49,0.045247584897285045,0.4619485798512441,-1,-0.004753560726117101,4.026115549822024e-14,6.648715253532269e-13,True,False,5.537899983210082e-05,9.659999932409846e-06,8.055900002545968e-05,exact,strict,50,0.8
exact_strict_n50_p0.8,4V-FB,33,8,True,False,49,0.04524758522413817,0.4619485798512441,-1,-0.004753559037742328,4.026115549822024e-14,6.648715253532267e-13,True,False,5.513000019163883e-05,9.969999837267096e-06,8.100000013655517e-05,exact,strict,50,0.8
exact_strict_n50_p0.8,4V-FB,40,15,False,True,49,0.04524758524969302,0.4619485798512441,-1,-0.004753558905735034,4.026115549822024e-14,6.648715253532269e-13,True,False,5.568000005951035e-05,9.890000001178123e-06,8.134000017889775e-05,exact,strict,50,0.8
exact_quartic_n20_p0.3,4V-FB,1,1,True,False,20,3.108624468950974e-18,0.6185064075575528,1,0.00033142574821098947,1.100455589032931e-21,2.0299003322259134e-13,True,True,4.9210000042876345e-05,9.69999996414117e-06,7.793000008859963e-05,exact,quartic,20,0.3
exact_quartic_n20_p0.3,4V-FB,23,1,True,False,19,0.1541850455622512,0.6185064075575528,-1,-0.02918933247780786,1.100455589032931e-21,1.97372457093096e-13,True,False,3.506999996716331e-05,9.600000112186535e-06,6.152000014481018e-05,exact,quartic,20,0.3
exact_quartic_n20_p0.3,4V-FB,24,2,True,False,19,0.15418504637399522,0.6185064075575528,-1,-0.02918931974267447,1.100455589032931e-21,1.9737245709309556e-13,True,False,3.360000005159236e-05,9.15000009626965e-06,5.820999990646669e-05,exact,quartic,20,0.3
exact_quartic_n20_p0.3,4V-FB,26,4,True,False,19,0.15418504698714758,0.6185064075575528,-1,-0.0291893101231655,1.100455589032931e-21,1.9737245709309543e-13,True,False,2.5560000040059094e-05,9.059999911187333e-06,4.9450000005890615e-05,exact,quartic,20,0.3
exact_quartic_n20_p0.3,4V-FB,30,8,True,False,19,0.15418504718122658,0.6185064075575528,-1,-0.029189307078335114,1.100455589032931e-21,1.973724570930954e-13,True,False,2.3770000098011224e-05,9.070000032807002e-06,4.74199998734548e-05,exact,quartic,20,0.3
